iter	Passed	Remaining
0	178	178642
1	208	104130
2	249	82775
3	284	70879
4	324	64638
5	363	60178
6	406	57625
7	440	54632
8	482	53090
9	518	51308
10	556	50030
11	590	48605
12	640	48623
13	675	47583
14	707	46483
15	746	45913
16	775	44824
17	810	44234
18	849	43836
19	883	43314
20	921	42944
21	946	42054
22	982	41726
23	1018	41422
24	1054	41140
25	1084	40628
26	1122	40450
27	1160	40282
28	1195	40031
29	1234	39903
30	1273	39801
31	1310	39630
32	1350	39564
33	1390	39501
34	1432	39484
35	1451	38870
36	1492	38838
37	1528	38707
38	1567	38623
39	1586	38068
40	1623	37979
41	1661	37891
42	1700	37836
43	1738	37774
44	1785	37890
45	1824	37829
46	1861	37741
47	1900	37702
48	1939	37638
49	1992	37863
50	2010	37410
51	2048	37341
52	2072	37038
53	2111	36990
54	2149	36933
55	2186	36864
56	2228	36867
57	2267	36824
58	2305	36766
59	2345	36741
60	2383	36685
61	2423	36661
62	2460	36594
63	2499	36548
64	2537	36494
65	2573	36417
66	2613	36398
67	2650	36326
68	2689	36289
69	2720	36141
70	2759	36102
71	2797	36057
72	2834	35994
73	2872	35949
74	2909	35888
75	2949	35856
76	2967	35573
77	3004	35519
78	3042	35471
79	3079	35414
80	3118	35380
81	3156	35342
82	3197	35329
83	3230	35223
84	3272	35225
85	3310	35179
86	3331	34963
87	3372	34949
88	3408	34889
89	3446	34843
90	3482	34791
91	3518	34730
92	3557	34699
93	3595	34650
94	3635	34634
95	3671	34577
96	3722	34654
97	3769	34695
98	3807	34653
99	3837	34538
100	3876	34500
101	3914	34460
102	3950	34406
103	3989	34372
104	4026	34322
105	4065	34290
106	4103	34244
107	4134	34149
108	4175	34131
109	4214	34099
110	4254	34070
111	4293	34040
112	4335	34032
113	4375	34005
114	4415	33979
115	4454	33943
116	4490	33891
117	4533	33885
118	4570	33840
119	4608	33798
120	4645	33747
121	4682	33699
122	4720	33658
123	4759	33626
124	4796	33576
125	4835	33542
126	4874	33508
127	4913	33475
128	4950	33425
129	4989	33392
130	5026	33342
131	5067	33323
132	5106	33285
133	5145	33251
134	5184	33220
135	5214	33124
136	5259	33128
137	5298	33096
138	5335	33048
139	5375	33021
140	5411	32970
141	5455	32964
142	5499	32959
143	5548	32979
144	5597	33004
145	5635	32961
146	5671	32909
147	5709	32870
148	5745	32817
149	5784	32780
150	5821	32729
151	5859	32690
152	5897	32648
153	5933	32595
154	5974	32569
155	6014	32538
156	6055	32516
157	6097	32493
158	6136	32460
159	6182	32455
160	6223	32432
161	6262	32393
162	6294	32323
163	6321	32222
164	6368	32230
165	6410	32205
166	6451	32181
167	6489	32136
168	6529	32106
169	6566	32062
170	6625	32118
171	6662	32070
172	6700	32028
173	6738	31986
174	6776	31944
175	6816	31912
176	6853	31868
177	6893	31831
178	6943	31847
179	6983	31811
180	7021	31770
181	7061	31739
182	7099	31694
183	7140	31665
184	7178	31625
185	7218	31589
186	7255	31542
187	7293	31502
188	7330	31453
189	7368	31413
190	7406	31370
191	7443	31326
192	7483	31290
193	7519	31239
194	7558	31203
195	7596	31161
196	7636	31126
197	7674	31087
198	7701	31001
199	7743	30973
200	7787	30954
201	7825	30915
202	7868	30891
203	7910	30867
204	7958	30861
205	8006	30861
206	8066	30901
207	8104	30861
208	8148	30838
209	8189	30809
210	8231	30779
211	8274	30756
212	8318	30734
213	8363	30718
214	8401	30676
215	8440	30635
216	8480	30598
217	8518	30557
